;asertividad;autoconciencia emocional;autoestima;desarrollar y estimular a los demás;empatía;autocontrol emocional;influencia;liderazgo;optimismo;relación social;colaboración y cooperación;comprensión organizativa;conciencia crítica;desarrollo de las relaciones;tolerancia a la frustración;comunicacion asertiva;manejo de conflictos;motivación de logro;percepción y comprensión emocional;violencia
abandon;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.137;0.000;0.152;0.000;0.000;0.262
abat;0.000;0.150;0.166;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.157;0.000
abord;0.000;0.000;0.000;0.195;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.170;0.000;0.177;0.000;0.131;0.000;0.000;0.000;0.000
aborrec;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.152;0.000;0.000;0.262
abraz;0.000;0.000;0.000;0.000;0.195;0.000;0.179;0.000;0.155;0.000;0.000;0.000;0.000;0.177;0.137;0.000;0.152;0.000;0.000;0.000
abrig;0.000;0.000;0.000;0.000;0.195;0.000;0.179;0.213;0.155;0.000;0.000;0.000;0.000;0.177;0.000;0.000;0.000;0.000;0.000;0.000
absolv;0.000;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.211;0.000;0.000
absorb;0.000;0.000;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.152;0.000;0.157;0.000
absort;0.000;0.000;0.000;0.000;0.000;0.149;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
absuelt;0.000;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.211;0.000;0.000
absuelv;0.000;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.211;0.000;0.000
aburr;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.177;0.000;0.000;0.000;0.000;0.157;0.000
abus;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.177;0.000;0.000;0.000;0.000;0.000;0.262
acapar;0.000;0.000;0.000;0.195;0.000;0.000;0.179;0.000;0.000;0.000;0.141;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
accidental;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.141;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
accident;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.141;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
acech;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
acept;0.115;0.150;0.000;0.195;0.000;0.000;0.179;0.000;0.155;0.187;0.000;0.000;0.163;0.000;0.137;0.131;0.000;0.211;0.157;0.000
aclam;0.000;0.000;0.000;0.195;0.000;0.000;0.179;0.213;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.131;0.000;0.000;0.157;0.000
aclar;0.115;0.150;0.000;0.000;0.000;0.149;0.000;0.000;0.155;0.000;0.000;0.000;0.163;0.000;0.000;0.131;0.152;0.000;0.157;0.000
acos;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
activ;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.155;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
acuchill;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
acuerd;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.141;0.000;0.000;0.177;0.000;0.000;0.152;0.211;0.000;0.000
acus;0.000;0.000;0.000;0.195;0.000;0.000;0.179;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.152;0.000;0.000;0.262
adecu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.213;0.000;0.000;0.141;0.000;0.000;0.000;0.000;0.131;0.000;0.000;0.157;0.000
admir;0.000;0.000;0.000;0.195;0.000;0.000;0.179;0.213;0.000;0.187;0.000;0.000;0.000;0.177;0.000;0.000;0.000;0.211;0.157;0.000
admit;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.163;0.000;0.137;0.131;0.152;0.000;0.000;0.000
adoctrin;0.000;0.000;0.000;0.195;0.000;0.000;0.179;0.000;0.000;0.187;0.000;0.000;0.000;0.177;0.000;0.000;0.152;0.000;0.000;0.000
adopt;0.000;0.000;0.000;0.195;0.195;0.000;0.179;0.000;0.000;0.187;0.000;0.000;0.000;0.177;0.000;0.000;0.000;0.000;0.000;0.000
ador;0.000;0.150;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.211;0.000;0.000
advertent;0.000;0.000;0.000;0.195;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.152;0.000;0.000;0.000
advert;0.000;0.000;0.000;0.195;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.152;0.000;0.000;0.000
adviert;0.000;0.000;0.000;0.195;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.152;0.000;0.000;0.000
afabl;0.115;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
afect;0.000;0.150;0.166;0.000;0.000;0.149;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
aficion;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.141;0.000;0.000;0.000;0.137;0.000;0.000;0.000;0.157;0.000
afil;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.163;0.000;0.000;0.000;0.000;0.000;0.000;0.262
afirm;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.213;0.155;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.152;0.000;0.000;0.000
aflig;0.000;0.000;0.166;0.000;0.195;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.157;0.000
afortun;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.155;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.211;0.000;0.000
afrent;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.213;0.000;0.000;0.141;0.000;0.000;0.000;0.000;0.131;0.000;0.000;0.000;0.000
agobi;0.000;0.150;0.166;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.137;0.000;0.000;0.000;0.157;0.000
agoniz;0.000;0.000;0.166;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.000;0.000;0.157;0.262
agot;0.000;0.000;0.166;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.137;0.000;0.000;0.000;0.157;0.000
agrad;0.000;0.000;0.000;0.000;0.195;0.000;0.179;0.000;0.155;0.187;0.000;0.170;0.000;0.177;0.000;0.000;0.000;0.000;0.000;0.000
agrav;0.000;0.000;0.166;0.195;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
agresion;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
agres;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
agresor;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
aguant;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.137;0.000;0.152;0.000;0.000;0.000
ah;0.000;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.155;0.000;0.141;0.000;0.000;0.000;0.137;0.000;0.000;0.000;0.000;0.000
ahog;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
ahorc;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
air;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.163;0.000;0.137;0.131;0.152;0.000;0.000;0.000
aisl;0.000;0.000;0.166;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
ajust;0.000;0.000;0.000;0.195;0.195;0.000;0.000;0.213;0.000;0.000;0.141;0.170;0.000;0.000;0.000;0.000;0.152;0.000;0.000;0.000
alab;0.000;0.000;0.166;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.211;0.000;0.000
alarm;0.115;0.000;0.000;0.000;0.195;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.131;0.152;0.000;0.000;0.000
alborot;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
alcanc;0.000;0.000;0.000;0.195;0.195;0.000;0.000;0.000;0.000;0.000;0.141;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
alcanz;0.000;0.000;0.000;0.195;0.195;0.000;0.000;0.213;0.000;0.000;0.141;0.000;0.000;0.000;0.000;0.000;0.000;0.211;0.000;0.000
